"Source:","C:\Users\Zach\Documents\GitHub\FaultSignalGenerator\KiCadFiles\FaultSignalGenerator\FaultSignalGenerator_Isaiah_16Channel.kicad_sch"
"Date:","4/11/2023 9:48:41 PM"
"Tool:","Eeschema (7.0.0)"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","280"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2, C3, C4, C5, C17, C18, C19, C54, C55, C56, C57, C58, C70, C71, C72","16","4700pF","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor","",""
"C6, C7, C8, C9, C10, C20, C21, C22, C59, C60, C61, C62, C63, C73, C74, C75","16","470pF","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor","",""
"C11, C12, C13, C14, C15, C16, C23, C24, C25, C48, C49, C64, C65, C66, C67, C68, C69, C76, C77, C78, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99, C100","36","10uF","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor","",""
"C26, C28, C30, C80","4","100nF","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor","",""
"C27, C29, C79","3","10uF","C","Capacitor_SMD:CP_Elec_4x5.4","Unpolarized capacitor","",""
"C31, C50, C51, C52, C53","5","1uF","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor","",""
"C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C83, C84","18","4.7uF","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor","",""
"C81","1","2.2uF","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor","",""
"C82","1","192.1pF","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor","",""
"D1","1","D","D","Diode_SMD:D_SMC","Diode","",""
"J1","1","Conn_02x20_Odd_Even","Conn_02x20_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical_SMD","Generic connector, double row, 02x20, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J2","1","Conn_02x16_Odd_Even","Conn_02x16_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x16_P2.54mm_Vertical_SMD","Generic connector, double row, 02x16, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J3","1","DB25_Receptacle","DB25_Receptacle","DSUB-25_Female_Horizontal_P2.77x2.54mm_EdgePinOffset9.40mm","25-pin female receptacle socket D-SUB connector","",""
"L1","1","10uH","L","Inductor_SMD:L_1210_3225Metric","Inductor","",""
"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16","16","220","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48","32","15K","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R49, R50, R51, R52, R53, R74, R75, R76, R100, R101, R102, R103, R104, R125, R126, R127","16","6.2k","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R54, R55, R56, R57, R58, R77, R78, R79, R105, R106, R107, R108, R109, R128, R129, R130","16","6.8k","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R59, R60, R61, R62, R63, R80, R81, R82, R110, R111, R112, R113, R114, R131, R132, R133","16","430","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R64, R65, R66, R67, R68, R83, R84, R85, R115, R116, R117, R118, R119, R134, R135, R136","16","47","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R69, R70, R71, R72, R73, R86, R87, R88, R89, R90, R120, R121, R122, R123, R124, R137, R138, R139, R143, R144, R145, R146, R147, R148, R149, R150, R151, R152, R153, R154, R155, R156, R157, R158","34","10k","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R91","1","5k","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R92, R93, R94, R95, R96, R97, R98, R99","8","22","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R140","1","47k","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R141","1","13.3k","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"R142","1","138.1k","R","Resistor_SMD:R_1206_3216Metric","Resistor","",""
"U1, U2, U3, U4","4","MCP4431-503E/ST","MCP4431-503E/ST","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","","",""
"U5, U6, U7, U8, U9, U10, U11, U12, U13","9","TL074CDR","TL074CDR","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","","",""
"U14, U15","2","PCM1681PWP","PCM1681PWP","Package_SO:HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.85x5.4mm","","",""
"U16","1","TL780-05CKTTR","TL780-05CKTTR","Package_TO_SOT_SMD:TO-263-3_TabPin4","","",""
"U18","1","~","LMR62014_1","Package_TO_SOT_SMD:SOT-23-5","","",""
